"","","","","","","Внимание! Счет действителен 3 рабочих дня.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","При несвоевременной оплате по счету наличие товара не гарантируется.
Оплата данного счета означает согласие с условиями поставки товара. 
Уведомление об оплате обязательно, в противном случае не гарантируется
наличие товара на складе. Товар отпускается по факту прихода денег 
на р/с Поставщика, самовывозом, при наличии доверенности и паспорта.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Образец заполнения платежного поручения","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Банк ГПБ (АО) г. Москва","","","","","","","","","","","","","","","","","","БИК","","","044525823","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Сч. №","","","30101810200000000823","","","","","","","","","","","","","","","","","","","","",""
"","Банк получателя","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","ИНН","","504790274480","","","","","","","КПП","","","","","","","","","Сч. №","","","40802810100000048889","","","","","","","","","","","","","","","","","","","","",""
"","ИП Гордеева Людмила Владимировна","","","","","","","","","","","","","","","","","","Вид оп.","","","01","","","Срок плат.","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Наз. пл.","","","","","","Очер. плат.","","","5","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","Код","","","ЗК2507ЛВУТ0183270006","","","Рез. поле","","","","","","","","","","","","","","","","","",""
"","Получатель","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Оплата по заказу клиента №УТ-18327","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Назначение платежа","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Счет на оплату № УТ-18327 от 15 июля 2025 г.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Поставщик:","","","","ИП Гордеева Людмила Владимировна, ИНН 504790274480, 125212, Город Москва, Ленинградское шоссе, д. 25, к. 3, кв. 1","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","Покупатель:","","","","ООО ""МАРМЕЛАДНЫЙ ДВОРИК"", ИНН 2721253925, КПП 272101001, 680000, Хабаровский Край, г.о. Город Хабаровск, г Хабаровск, ул Тургенева, дом 48, квартира 116","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","№","","Артикул","","","Товары (работы, услуги)","","","","","","","","","","","","","","","","","","","","","Количество","","","","","Цена","","","","Сумма","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","1","","RA4932Н","","","Жевательный мармелад HALAL ""Гигантские крокодилы"" 1кг х 12 /RAVAZZI/Италия","","","","","","","","","","","","","","","","","","","","","4","","шт","","","821.30","","","","3,285.20","","","","","","",""
"","2","","8412957002082","","","Жевательный мармелад HALAL Хрустящие астероиды ""Ягоды в обсыпке кислые"" 1кг х 12 /BURMAR","","","","","","","","","","","","","","","","","","","","","3","","шт","","","1,137.80","","","","3,413.40","","","","","","",""
"","3","","66538","","","Мармелад жев. HALAL ""Бобы желе со вкусом Ананас"" 1кг х 6 /DAMEL Испания/","","","","","","","","","","","","","","","","","","","","","1","","шт","","","999.90","","","","999.90","","","","","","",""
"","4","","66515","","","Мармелад жев. HALAL ""Бобы желе со вкусом Апельсин"" 1кг х 6 /DAMEL Испания/","","","","","","","","","","","","","","","","","","","","","1","","шт","","","1,010.20","","","","1,010.20","","","","","","",""
"","5","","66572","","","Мармелад жев. HALAL ""Бобы желе со вкусом Арбуз"" (содержит Е120) 1кг х 6 /DAMEL Испания/","","","","","","","","","","","","","","","","","","","","","1","","шт","","","1,103.90","","","","1,103.90","","","","","","",""
"","6","","66514","","","Мармелад жев. HALAL ""Бобы желе со вкусом Клубника"" 1кг х 6 /DAMEL Испания/","","","","","","","","","","","","","","","","","","","","","1","","шт","","","1,103.90","","","","1,103.90","","","","","","",""
"","7","","66513","","","Мармелад жев. HALAL ""Бобы желе со вкусом Малина"" 1кг х 6 /DAMEL Испания/","","","","","","","","","","","","","","","","","","","","","2","","шт","","","999.90","","","","1,999.80","","","","","","",""
"","8","","66536","","","Мармелад жев. HALAL ""Бобы желе со вкусом Лимон"" 1кг х 6 /DAMEL Испания/","","","","","","","","","","","","","","","","","","","","","1","","шт","","","1,103.90","","","","1,103.90","","","","","","",""
"","9","","RAZZ-2981 / 62295","","","Мармелад жев. ""Ягоды в обсыпке Ананас"" 1кг х 12 /DAMEL Испания/","","","","","","","","","","","","","","","","","","","","","1","","шт","","","848.60","","","","848.60","","","","","","",""
"","10","","62006","","","Мармелад жев. HALAL ""Бананы"" 1кг х 12 /DAMEL Испания/","","","","","","","","","","","","","","","","","","","","","2","","шт","","","755.40","","","","1,510.80","","","","","","",""
